Breed,Rank,Affectionate,Good_Children,Good_Dogs,Shedding,Grooming_Frequency,Drooling,Coat_Type,Coat_Length,Openness,Playfulness,Watchdog,Adaptability,Trainability,Energy,Barking,Stimulation_Needs
Retrievers (Labrador),1,5,5,5,4,2,2,Double,Short,5,5,3,5,5,5,3,4
French Bulldogs,2,5,5,4,3,1,3,Smooth,Short,5,5,3,5,4,3,1,3
German Shepherd Dogs,3,5,5,3,4,2,2,Double,Medium,3,4,5,5,5,5,3,5
Retrievers (Golden),4,5,5,5,4,2,2,Double,Medium,5,4,3,5,5,3,1,4
Poodles,5,5,5,3,1,4,1,Curly,Long,5,5,5,4,5,4,4,5
Shetland Sheepdogs,6,5,5,5,3,3,1,Double,Long,2,5,5,5,5,4,5,4
Keeshonden,7,5,5,5,3,3,2,Double,Long,5,5,5,5,5,4,4,4
Pugs,8,5,5,4,4,2,1,Smooth,Short,5,5,3,5,4,3,1,3
Rat Terriers,9,5,5,3,3,2,1,Smooth,Short,5,5,4,4,5,4,3,5
Spaniels (Irish Water),10,5,3,3,1,3,2,Curly,Medium,3,5,3,4,5,3,1,4
Border Collies,11,5,3,3,3,3,1,Double,Medium,4,5,3,5,5,5,4,5
Pyrenean Shepherds,12,5,3,3,3,2,2,Smooth,Medium,3,5,5,4,5,5,4,5
Russell Terriers,13,5,3,5,3,2,1,Curly,Short,5,5,4,4,3,5,4,5
Portuguese Water Dogs,14,5,5,4,2,4,2,Curly,Long,4,5,4,5,5,5,3,5
Siberian Huskies,15,5,5,5,4,2,1,Double,Medium,5,5,1,4,3,5,5,4
Havanese,16,5,5,5,2,3,1,Double,Long,5,5,3,5,4,3,4,3
West Highland White Terriers,17,5,5,3,3,3,1,Double,Medium,4,5,5,4,3,4,5,4
Samoyeds,18,5,5,3,3,3,1,Double,Long,5,5,4,4,4,4,5,4
Retrievers (Nova Scotia Duck Tolling),19,5,5,4,3,2,2,Double,Medium,3,5,3,4,5,5,2,4
Papillons,20,5,5,3,3,2,1,Smooth,Medium,5,5,4,5,5,4,5,5
Setters (Irish),21,5,5,5,3,3,2,Smooth,Medium,5,5,3,4,4,5,3,4
Boston Terriers,22,5,5,4,2,2,1,Smooth,Short,5,5,3,3,4,4,2,3
Vizslas,23,5,5,4,3,2,2,Smooth,Short,4,5,3,5,5,5,3,5
Weimaraners,24,5,5,3,3,2,2,Smooth,Short,3,5,5,4,5,5,3,5
Retrievers (Flat-Coated),25,5,5,5,3,2,2,Smooth,Medium,5,5,3,5,5,5,3,4
Wirehaired Vizslas,26,5,5,3,3,1,2,Curly,Short,5,5,3,4,5,5,3,5
Bernese Mountain Dogs,27,5,5,5,5,3,3,Double,Medium,4,4,3,4,4,4,3,3
Miniature American Shepherds,28,5,5,5,3,3,2,Double,Medium,3,4,3,4,5,5,3,5
Bichons Frises,29,5,5,5,1,5,1,Double,Long,5,4,2,4,4,4,3,3
Old English Sheepdogs,30,5,5,3,3,4,3,Double,Long,3,4,4,4,4,3,3,4
Coton de Tulear,31,5,5,5,2,4,1,Double,Long,5,4,3,4,4,3,1,3
Tibetan Spaniels,32,5,5,3,3,2,2,Double,Medium,4,4,4,4,3,3,3,3
