Shift,Age,Primary Fur Color,Location,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches
AM,Adult,Gray,Above Ground,No,No,No,No,Yes,No,No,No,No,No,Yes
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,Yes,No,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,Yes,No,Yes,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,No,Yes,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Black,Above Ground,No,No,No,No,Yes,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,Yes,No,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,No,Yes,No,No,No,No,Yes,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,No,No,No,No,No,No,No,No
PM,Adult,Black,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,Yes,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,Yes,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,Yes,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,Yes,No,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Cinnamon,Above Ground,No,Yes,No,No,No,Yes,No,No,Yes,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,No,No,No,No,No,No,No,No,No
AM,Adult,Cinnamon,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,Yes,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,Yes,No,No,No,No
AM,Adult,Cinnamon,Above Ground,No,No,No,No,No,Yes,No,No,Yes,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Black,Above Ground,No,No,Yes,Yes,No,No,No,No,Yes,No,No
AM,Adult,Gray,Above Ground,No,Yes,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,Yes,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Cinnamon,Above Ground,No,Yes,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,No,Yes,No,No,Yes,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,Yes,No,No,No,No,No
AM,Adult,Cinnamon,Above Ground,No,No,Yes,No,Yes,No,No,No,Yes,No,No
AM,Adult,Cinnamon,Above Ground,No,No,Yes,No,Yes,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,Yes,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,Yes,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,No,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,Yes,No,No,No,No,Yes,No,No
PM,Adult,Gray,Above Ground,No,No,No,No,No,No,Yes,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,No,Yes,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,Yes,No,No,No,No,No,No,No
AM,Adult,Cinnamon,Above Ground,No,No,No,Yes,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,Yes,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,Yes,Yes,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,Yes,No,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Cinnamon,Above Ground,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No
PM,Adult,Gray,Above Ground,No,No,No,No,No,No,No,No,No,No,No
AM,Adult,Black,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
AM,Adult,Black,Above Ground,No,No,Yes,No,No,No,No,No,No,No,No
PM,Adult,Gray,Above Ground,No,No,No,No,No,No,No,No,No,No,No
