loc_id,Country,State,Month,nb_birds,nb_species,loc_type,cats,dogs,nb_trees,brsh_piles,water_srcs,bird_baths,nearby_feeders,housing_density,fed_yr_round
L12802201,US,AZ,1,1,1,desert,1,1,3,0,0,0,1,3,1
L1322368,US,NM,2,1,1,desert,1,0,2,1,0,0,0,4,1
L613821,US,CO,11,1,1,desert,1,0,6,0,0,0,0,2,1
L12727506,US,CO,12,1,1,desert,1,0,0,0,0,0,0,1,1
L22257,US,AZ,3,1,1,desert,1,0,5,1,0,0,1,2,0
L3166272,US,NM,2,1,1,desert,1,1,6,0,0,0,1,3,1
L5095036,US,PA,12,1,1,desert,2,1,4,4,0,0,0,2,1
L10146248,US,NM,2,1,1,desert,4,0,7,1,0,0,0,1,1
L10146248,US,NM,3,1,1,desert,5,0,7,1,0,0,0,1,1
L10184970,US,AZ,2,1,1,desert,0,1,5,1,1,0,0,3,1
L10184970,US,AZ,3,1,1,desert,0,0,5,1,1,0,0,3,1
L1816329,US,AZ,4,1,1,desert,0,0,3,0,0,0,1,3,1
L385278,US,AZ,4,1,1,desert,0,1,1,0,0,0,1,3,1
L5129344,US,AZ,1,1,1,desert,0,0,0,1,0,0,1,3,1
L5129344,US,AZ,3,1,1,desert,2,1,0,1,0,0,1,3,1
L8135955,US,AZ,2,1,1,desert,5,3,4,1,0,0,1,3,1
L10106521,US,AZ,1,1,1,desert,3,2,4,0,1,0,0,2,1
L10126652,US,AZ,1,1,1,desert,2,2,8,0,1,0,0,3,1
L10126652,US,AZ,2,1,1,desert,5,5,8,0,1,0,0,3,1
L10126652,US,AZ,2,1,1,desert,6,2,8,0,1,0,0,3,1
L10126652,US,AZ,3,1,1,desert,0,1,8,0,1,0,0,3,1
L10126652,US,AZ,11,1,1,desert,0,2,8,0,1,0,0,3,1
L10218065,US,AZ,1,1,1,desert,0,0,6,0,0,0,0,4,1
L1038061,US,CA,4,1,1,desert,2,0,2,0,0,0,0,1,1
L1038061,US,CA,12,1,1,desert,2,0,2,0,0,0,0,1,1
L104105,US,CA,11,1,1,desert,6,1,5,0,0,0,0,3,1
L12639562,US,NM,1,1,1,desert,1,1,1,0,0,0,1,3,1
L12639562,US,NM,3,1,1,desert,1,1,1,0,0,0,1,3,1
L12668790,US,OR,2,1,1,desert,1,1,5,1,0,0,0,2,1
L12720533,US,CO,1,1,1,desert,1,1,5,0,0,0,1,2,1
L12720533,US,CO,3,1,1,desert,1,0,3,0,0,0,1,2,1
L12720533,US,CO,4,1,1,desert,1,1,3,0,0,0,1,2,1
L12721095,US,TX,11,1,1,desert,1,2,5,0,0,0,0,1,1
L12755408,US,AZ,4,1,1,desert,1,1,5,0,0,0,0,1,1
L12755408,US,AZ,11,1,1,desert,1,3,3,0,0,0,0,1,1
L12755408,US,AZ,11,1,1,desert,1,4,5,0,0,0,0,1,1
L12790675,US,AZ,11,1,1,desert,1,2,4,0,0,0,1,2,1
L12802201,US,AZ,4,1,1,desert,1,0,3,0,0,0,1,3,1
L12942171,US,AZ,3,1,1,desert,1,1,2,1,0,0,0,2,0
L1322368,US,NM,2,1,1,desert,1,3,3,1,0,0,0,4,1
L1322368,US,NM,3,1,1,desert,1,0,5,1,0,0,0,4,1
L1322368,US,NM,3,1,1,desert,1,0,6,1,0,0,0,4,1
L1322368,US,NM,4,1,1,desert,1,0,7,1,0,0,0,4,1
L1322368,US,NM,11,1,1,desert,1,0,7,1,0,0,0,4,1
L1322368,US,NM,12,1,1,desert,1,0,5,1,0,0,0,4,1
L13316815,US,AZ,1,1,1,desert,1,0,2,1,1,0,0,3,1
L13401182,US,NM,3,1,1,desert,1,0,5,1,0,0,0,2,1
L1806387,US,CA,3,1,1,desert,1,1,5,1,0,0,0,1,0
L1816329,US,AZ,1,1,1,desert,1,0,3,0,0,0,1,3,1
L1816329,US,AZ,11,1,1,desert,1,0,3,0,0,0,1,3,1
L22257,US,AZ,2,1,1,desert,1,1,5,0,0,0,1,2,0
L229881,US,CA,3,1,1,desert,1,1,5,0,0,0,0,2,0
L2418480,US,CO,11,1,1,desert,1,1,3,0,0,0,0,2,0
L31915,US,NV,1,1,1,desert,1,1,5,0,0,0,0,2,1
L31915,US,NV,11,1,1,desert,1,1,4,0,0,0,0,2,1
L31915,US,NV,12,1,1,desert,1,1,3,1,0,0,0,2,1
L356131,US,CO,2,1,1,desert,1,1,2,1,0,0,1,2,1
L356131,US,CO,3,1,1,desert,1,1,3,1,0,0,1,2,1
L356131,US,CO,11,1,1,desert,1,1,5,1,0,0,1,2,1
